,PosX,PosY,SteeringAngle,Throttle,Brake,Psi
0,-298.200928,-411.94979900000004,0.0,0.0,0.0,-179.999893
1,-298.27056899999997,-411.949829,0.0,0.0,0.0,179.999496
2,-298.345734,-411.949829,0.0,0.0,0.0,179.998322
3,-298.421356,-411.949829,0.0,0.0,0.0,179.99714699999998
4,-298.50195299999996,-411.949829,0.0,0.0,0.0,179.99615500000002
5,-298.57669100000004,-411.949829,0.0,0.0,0.0,179.99539199999998
6,-298.65387000000004,-411.94986,0.0,0.0,0.0,179.99473600000002
7,-298.733429,-411.94986,0.0,0.0,0.0,179.994156
8,-298.8125,-411.94986,0.0,0.0,0.0,179.993698
9,-298.88912999999997,-411.94986,0.0,0.0,0.0,179.993332
10,-298.96142599999996,-411.94986,0.0,0.0,0.0,179.99301100000002
11,-299.03564500000005,-411.94986,0.0,0.0,0.0,179.992767
12,-299.108032,-411.94986,0.0,0.0,0.0,179.992554
13,-299.182617,-411.94986,0.0,0.0,0.0,179.99233999999998
14,-299.259888,-411.94986,0.0,0.0,0.0,179.992188
15,-299.32962000000003,-411.94986,0.0,0.0,0.0,179.992065
16,-299.407562,-411.94986,0.0,0.0,0.0,179.991928
17,-299.486511,-411.94986,0.0,0.0,0.0,179.991837
18,-299.560944,-411.94986,0.0,0.0,0.0,179.99176
19,-299.635132,-411.94986,0.0,0.0,0.0,179.991669
20,-299.71441699999997,-411.94986,0.0,0.0,0.0,179.991608
21,-299.796112,-411.94986,0.0,0.0,0.0,179.99156200000002
22,-299.869415,-411.94986,0.0,0.0,0.0,179.991547
23,-299.943787,-411.94986,0.0,0.0,0.0,179.99143999999998
24,-300.018158,-411.94986,0.0,0.0,0.0,179.991409
25,-300.09256,-411.94986,0.0,0.0,0.0,179.991409
26,-300.177551,-411.94986,0.0,0.0,0.0,179.99136399999998
27,-300.261353,-411.94986,0.0,0.0,0.0,179.991302
28,-300.336578,-411.94986,0.0,0.0,0.0,179.991287
29,-300.412415,-411.94986,0.0,0.0,0.0,179.991287
30,-300.485657,-411.94986,0.0,0.0,0.0,179.991272
31,-300.567474,-411.94986,0.0,0.0,0.0,179.991226
32,-300.64977999999996,-411.94986,0.0,0.0,0.0,179.991196
33,-300.736115,-411.94986,0.0,0.0,0.0,179.991196
34,-300.811737,-411.94986,0.0,0.0,0.0,179.991165
35,-300.884613,-411.94986,0.0,0.0,0.0,179.991165
36,-300.963745,-411.94986,0.0,0.0,0.0,179.99115
37,-301.041687,-411.94986,0.0,0.0,0.0,179.99115
38,-301.119995,-411.94986,0.0,0.0,0.0,179.991104
39,-301.19528199999996,-411.94986,0.0,0.0,0.0,179.991104
40,-301.273071,-411.94986,0.0,0.0,0.0,179.991074
41,-301.355835,-411.94986,0.0,0.0,0.0,179.991043
42,-301.434418,-411.94986,0.0,0.0,0.0,179.991028
43,-301.510925,-411.94986,0.0,0.0,0.0,179.991028
44,-301.58313,-411.94986,0.007965,0.0,0.0,179.991028
45,-301.655396,-411.94986,0.007965,0.0,0.0,179.99101299999998
46,-301.736023,-411.94986,0.007965,0.0,0.0,179.990997
47,-301.81723,-411.949921,0.007965,0.0,0.0,179.993286
48,-301.888885,-411.949921,0.007965,0.0,0.0,179.996857
49,-301.965057,-411.94986,0.007965,0.0,0.0,-179.997925
50,-302.039581,-411.94986,0.007965,0.0,0.0,-179.991745
51,-302.115234,-411.94986,0.007965,0.0,0.0,-179.984451
52,-302.19372599999997,-411.94986,0.007965,0.0,0.0,-179.976028
53,-302.275177,-411.949829,0.007965,0.0,0.0,-179.966446
54,-302.346954,-411.949829,0.007965,0.0,0.0,-179.957504
55,-302.421112,-411.949829,0.007965,0.0,0.0,-179.94786100000002
56,-302.502655,-411.949829,0.007965,0.0,0.0,-179.936768
57,-302.58316,-411.949921,0.007965,0.0,0.0,-179.92543
58,-302.65826400000003,-411.949951,0.007965,0.0,0.0,-179.914536
59,-302.65826400000003,-411.949951,0.007965,0.0,0.0,-179.914536
60,-302.730347,-411.949982,0.007965,0.0,0.0,-179.90391499999998
61,-302.80319199999997,-411.950073,0.007965,0.0,0.0,-179.89299
62,-302.880066,-411.950134,0.007965,0.0,0.0,-179.88133200000001
63,-302.961304,-411.950256,0.007965,0.0,0.0,-179.86882
64,-303.038422,-411.950348,0.007965,0.0,0.0,-179.856827
65,-303.112122,-411.95047,0.007965,0.0,0.0,-179.845245
66,-303.18756099999996,-411.950562,0.007965,0.0,0.0,-179.833359
67,-303.265198,-411.95074500000004,0.007965,0.0,0.0,-179.82103
68,-303.340088,-411.950897,0.007965,0.0,0.0,-179.809113
69,-303.416901,-411.95108,0.007965,0.0,0.0,-179.796829
70,-303.490997,-411.951324,0.007965,0.0,0.0,-179.784897
71,-303.570526,-411.95153799999997,0.007965,0.0,0.0,-179.772095
72,-303.648346,-411.951782,0.007965,0.0,0.0,-179.759552
73,-303.723053,-411.952026,0.007965,0.0,0.0,-179.747498
74,-303.79632599999997,-411.952271,0.007965,0.0,0.0,-179.735611
75,-303.871735,-411.952515,0.007965,0.0,0.0,-179.723419
76,-303.94830299999995,-411.952881,0.007965,0.0,0.0,-179.710953
77,-303.94830299999995,-411.952881,0.007965,0.0,0.0,-179.710953
78,-304.02450600000003,-411.95318599999996,0.007965,0.0,0.0,-179.698578
79,-304.098419,-411.95349100000004,0.007965,0.0,0.0,-179.686569
80,-304.170105,-411.95385699999997,0.007965,0.0,0.0,-179.674911
81,-304.249329,-411.954254,0.007965,0.0,0.0,-179.662003
82,-304.325562,-411.95459,0.007965,0.0,0.0,-179.649628
83,-304.40777599999996,-411.955017,0.007965,0.0,0.0,-179.636215
84,-304.493866,-411.955536,0.007965,0.0,0.0,-179.622223
85,-304.57617200000004,-411.955994,0.007965,0.0,0.0,-179.60881
86,-304.65588399999996,-411.956482,0.007965,0.0,0.0,-179.595779
87,-304.72885099999996,-411.95694,0.007965,0.0,0.0,-179.583893
88,-304.802856,-411.957397,0.007965,0.0,0.0,-179.571823
89,-304.881073,-411.957916,0.007965,0.0,0.0,-179.559097
90,-304.95455899999996,-411.958466,0.007965,0.0,0.0,-179.54711899999998
91,-305.028046,-411.958984,0.007965,0.0,0.0,-179.535126
92,-305.103729,-411.959564,0.007965,0.0,0.0,-179.522751
93,-305.176666,-411.96011400000003,0.007965,0.0,0.0,-179.510864
94,-305.253448,-411.960693,0.007965,0.0,0.0,-179.498352
95,-305.325714,-411.961273,0.007965,0.0,0.0,-179.486557
96,-305.405121,-411.961945,0.007965,0.0,0.0,-179.473602
97,-305.483398,-411.962646,0.007965,0.0,0.0,-179.460815
98,-305.557892,-411.963257,0.007965,0.0,0.0,-179.448685
99,-305.637482,-411.963989,0.007965,0.0,0.0,-179.435699
100,-305.708862,-411.96463,0.007965,0.0,0.0,-179.424057
101,-305.784607,-411.965332,0.007965,0.0,0.0,-179.411667
102,-305.85849,-411.966034,0.007965,0.0,0.0,-179.399628
103,-305.93631,-411.96679700000004,0.007965,0.0,0.0,-179.38691699999998
104,-306.00741600000003,-411.96749900000003,0.007965,0.0,0.0,-179.375351
105,-306.081879,-411.968231,0.007965,0.0,0.0,-179.363205
106,-306.15741,-411.96905499999997,0.007965,0.0,0.0,-179.350861
107,-306.23287999999997,-411.969849,0.007965,0.0,0.0,-179.33856200000002
108,-306.30810499999995,-411.970642,0.007965,0.0,0.0,-179.32626299999998
109,-306.381805,-411.971436,0.007965,0.0,0.0,-179.314255
110,-306.45465099999996,-411.97226,0.007965,0.0,0.0,-179.302368
